t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,12.0000000000000,1,428571.0000000000000,NA,NA
1,1,MS,6.2640000000000,1,428505.7753822699888,428505.7753822699888,0.0024437900000
2,1,MS,5.4150000000000,1,428448.2401690600091,428448.2401690600091,0.0022737500000
3,1,MS,6.2230000000000,1,428388.9624136399943,428388.9624136399943,0.0024353100000
4,1,MS,5.9570000000000,1,428333.0342570299981,428333.0342570299981,0.0023810000000
5,1,MS,5.7330000000000,1,428280.0242234200123,428280.0242234200123,0.0023361300000
6,1,MS,5.5900000000000,1,428229.1258076999802,428229.1258076999802,0.0023078800000
7,1,MS,5.5110000000000,1,428179.7399853799725,428179.7399853799725,0.0022924200000
8,1,MS,5.4800000000000,1,428131.4973131800070,428131.4973131800070,0.0022863700000
9,1,MS,5.4550000000000,1,428084.3208142499789,428084.3208142499789,0.0022815100000
10,1,MS,5.4500000000000,1,428038.0754583899979,428038.0754583899979,0.0022805400000
11,1,MS,5.4660000000000,1,427992.6091993100126,427992.6091993100126,0.0022836500000
12,1,MS,5.4450000000000,1,427948.0232557799900,427948.0232557799900,0.0022795700000
13,1,MS,5.3850000000000,1,427904.4130811900250,427904.4130811900250,0.0022679400000
14,1,MS,5.3460000000000,1,427861.6536864999798,427861.6536864999798,0.0022604100000
15,1,MS,5.3470000000000,1,427819.5625877699931,427819.5625877699931,0.0022606100000
16,1,MS,5.4010000000000,1,427777.9302983999951,427777.9302983999951,0.0022710400000
17,1,MS,5.4890000000000,1,427736.6277856099769,427736.6277856099769,0.0022881200000
18,1,MS,5.6000000000000,1,427695.5712745800265,427695.5712745800265,0.0023098500000
19,1,MS,5.7120000000000,1,427654.7559602800175,427654.7559602800175,0.0023319600000
20,1,MS,5.8400000000000,1,427614.1265876599937,427614.1265876599937,0.0023574600000
21,1,MS,6.0010000000000,1,427573.5760581300128,427573.5760581300128,0.0023899100000
22,1,MS,6.2030000000000,1,427532.9840516099939,427532.9840516099939,0.0024311900000
23,1,MS,6.4330000000000,1,427492.2794821599964,427492.2794821599964,0.0024789900000
24,1,MS,6.6260000000000,1,427451.5941943500075,427451.5941943500075,0.0025197600000
25,1,MS,6.7730000000000,1,427411.0772841700236,427411.0772841700236,0.0025512200000
26,1,MS,6.9310000000000,1,427370.6858469200088,427370.6858469200088,0.0025854400000
27,1,MS,7.1400000000000,1,427330.2467477400205,427330.2467477400205,0.0026313500000
28,1,MS,7.3050000000000,1,427289.9040736900060,427289.9040736900060,0.0026681100000
29,1,MS,7.4250000000000,1,427249.8226144600194,427249.8226144600194,0.0026951400000
30,1,MS,7.5000000000000,1,427210.1194141400047,427210.1194141400047,0.0027121700000
31,1,MS,7.5700000000000,1,427170.8205650600139,427170.8205650600139,0.0027281400000
32,1,MS,7.5350000000000,1,427132.2378413500264,427132.2378413500264,0.0027201400000
33,1,MS,7.5900000000000,1,427094.0805554899853,427094.0805554899853,0.0027327200000
34,1,MS,7.5200000000000,1,427056.7348286500201,427056.7348286500201,0.0027167200000
35,1,MS,7.3650000000000,1,427020.4273490700289,427020.4273490700289,0.0026816000000
36,1,MS,7.4300000000000,1,426984.4976532799774,426984.4976532799774,0.0026962800000
37,1,MS,7.5300000000000,1,426948.8717055399902,426948.8717055399902,0.0027190000000
38,1,MS,7.4650000000000,1,426914.0223354399786,426914.0223354399786,0.0027042100000
39,1,MS,7.1600000000000,1,426880.5767407399835,426880.5767407399835,0.0026357800000
40,1,MS,7.0150000000000,1,426848.0420072400011,426848.0420072400011,0.0026038000000
41,1,MS,7.0350000000000,1,426815.9680019399966,426815.9680019399966,0.0026081900000
42,1,MS,6.9960000000000,1,426784.5252599900123,426784.5252599900123,0.0025996400000
