t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,mineral_N_fertilization_rate
0,347,12,5.2,516.2222222,6.21490625,0.95,360,2.9,0
1,347,13,5.6,549.8888889,6.23484375,0.88,360,2.9,0
2,347,14,4.8,392.7777778,6.24171875,0.92,360,2.9,0
3,347,15,3.6,157.1111111,6.255552083,0.95,360,2.9,0
4,347,16,3.5,22.44444444,6.276395833,0.96,360,2.9,0
5,347,17,3.6,0,6.283270833,0.97,360,2.9,0
6,347,18,3.7,0,6.296802083,0.98,360,2.9,0
7,347,19,3.9,0,6.316708333,0.99,360,2.9,0
8,347,20,3.9,0,6.323270833,0.99,360,2.9,0
9,347,21,4.4,0,6.33621875,0.99,360,2.9,0
10,347,22,4.7,0,6.354895833,0.99,360,2.9,0
11,347,23,4.4,0,6.360885417,0.99,360,2.9,0
12,347,24,4.3,0,6.37234375,0.98,360,4.6,0
13,348,1,4.5,0,6.388583333,0.96,360,4.6,0
14,348,2,4.5,0,6.393833333,0.96,360,4.6,0
15,348,3,5.1,0,6.404041667,0.96,360,4.6,0
16,348,4,5.5,0,6.418114583,0.95,360,4.6,0
17,348,5,5.8,0,6.422489583,0.95,360,4.6,0
18,348,6,6.2,0,6.43090625,0.94,360,4.6,0
19,348,7,6.6,0,6.442458333,0.94,360,4.6,0
20,348,8,7.1,0,6.44603125,0.93,360,4.6,0
21,348,9,7.2,11.22222222,6.452875,0.95,360,4.6,0
22,348,10,7.7,33.66666667,6.462760417,0.95,360,4.6,0
23,348,11,7.6,33.66666667,6.465989583,0.95,360,4.6,0
24,348,12,7.7,22.44444444,6.472239583,0.95,360,4.6,0
25,348,13,7.9,44.88888889,6.481395833,0.96,360,4.6,0
26,348,14,8.3,56.11111111,6.4845,0.95,360,4.6,0
27,348,15,8.4,33.66666667,6.490927083,0.96,360,4.6,0
28,348,16,8.8,11.22222222,6.501239583,0.96,360,4.6,0
29,348,17,9.1,0,6.504833333,0.95,360,4.6,0
30,348,18,9.2,0,6.512177083,0.95,360,4.6,0
31,348,19,9.1,0,6.523666667,0.92,360,4.6,0
32,348,20,9.4,0,6.527645833,0.9,360,4.6,0
33,348,21,8.9,0,6.53590625,0.88,360,4.6,0
34,348,22,8.8,0,6.5488125,0.85,360,4.6,0
35,348,23,8.8,0,6.55309375,0.87,360,4.6,0
